geneID	Sample1	Sample2	Sample3	Sample4	Sample5	Sample6	Sample7	Sample8	Sample9	Sample10
EEF1GP1	2.364772641896182	2.292225494856057	0.8877645336532589	2.5589820736793576	3.4316609305552213	0.9012536714294949	-1.6896985199024417	-3.3500027466976543	-4.080669491190491	1.1910310502208132
EFCAB1	2.131433808158691	2.8676187437925176	3.1226936767736415	2.5395021791344234	2.9493077054212864	-1.1204622274031164	-0.5340904801972808	-0.4920726990865862	-1.4055021426465688	-0.9417384121049331
EFHC2	3.437888092794078	2.859612151922544	3.0047178436852313	3.2554749658381494	2.4102950461035237	-0.29367866789367497	-0.5383054369706276	0.2757407535172279	0.9059597731207687	0.17864635720873262
EFHD2	4.672388673736236	4.768278142698043	4.213866011339027	4.699371159527631	5.200137031113206	6.796323319236495	6.9585404606522	6.9193717830948325	7.337807450251125	6.889401780026704
EFNA3	6.151061240897215	5.904382488486114	5.715621183903785	5.523748860139055	6.41655300368974	4.292419459708623	0.35097824907919073	1.1085260477096144	0.994667501088177	2.074026355912039
EFNA5	5.701577120703397	4.958573462818685	5.233303286490621	5.118141508817614	4.312247155584154	3.814799764168084	1.9225701942243074	2.22395182764585	1.5403694763026354	2.694178922686135
EFNB3	1.4348420752771611	2.15841910221027	1.4010303488867724	1.6576236790023344	1.4647089570206073	-0.29814315391962426	-0.9537368851783395	-1.6357450112533238	-2.1606320245728625	-1.0402982940230838
EFS	5.671169168424766	5.600799177582063	5.199947449457746	5.6103663898829	5.387484042169305	3.5018629179310317	3.2331264481326287	1.8817719948538563	2.0989967350814096	2.9369041794910573
EGF	1.7261369110036215	0.5925469884524035	2.1346969823960293	1.5695894171768665	1.8844447744856014	-0.9088278364739841	-1.7799205724188158	-0.8471928306233947	-1.4717984867004938	-1.7176098580394208
EGFR	9.164616471142777	8.82768031871434	9.134948969919622	9.002762624302	9.08303578418114	6.688360939802751	5.859152142109079	5.526795930001499	4.970650368093573	6.117430948559807
EGR3	4.874001546503707	4.918891773101339	4.259750540482915	4.46667353903933	4.7891645019068845	2.779400795093235	2.183654750479256	2.993734771501345	1.9370223198542325	3.0239293742329183
EHBP1L1	5.108932745672589	5.330089850426944	5.3045651538571414	5.249566655959032	6.239056727784311	7.062907743221966	7.380062033707797	7.5440453928085835	7.760403212774444	7.374095431103418
EHHADH	3.9061863387218767	5.078045674366103	5.485445790487552	4.263371863273482	3.364938336481932	1.816807954676797	3.525482938990542	2.209136150122384	2.1862060710026348	2.786273842601465
ELF5	4.596452864213563	3.012620120324809	3.2716894568546384	2.9162680149233022	3.6078644240929747	1.0525279721704268	-0.6821011031821292	0.7641528768065449	0.2585102129222484	2.399529127044513
ELL3	3.9536501887963267	4.443818025228584	3.5608702826298924	4.120601803507297	4.289472594063234	1.7861247574382544	0.7020795066017641	0.710805220629972	0.4959263785646017	1.5903947152359799
ELMOD1	7.073998065764653	6.594124263466341	6.212249716644955	6.362628255717633	6.437640526649848	5.333039204290103	-0.723027760241983	2.4658435377420185	2.066588837686423	3.271607293405845
ELOVL4	7.181904626808168	7.071986155805115	6.516880296781978	6.857089058755069	6.500935656923906	6.090612963423727	1.4630684173373714	4.312603172025248	3.768062301857706	5.227458564956377
ELOVL6	5.8547439681584486	5.536039824351343	4.848935034985022	4.820754587806555	4.867951506532324	3.250021478585307	3.0743568811663127	2.051302609151749	2.875855965306523	3.898280452887613
